AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED
Toronto East General Hospital,"825 Coxwell Ave, Toronto, ON     M4C 3E7","Danforth East York, 59","Switchboard 416-461-8272 , Patient Directory Line 416-469-6487",community@tegh.on.ca,"<a href=""http://www.tegh.on.ca"" target=""_blank"">www.tegh.on.ca</a>",,"Acute care hospital * complex continuing care * inpatient rehabilitation * alternate level of care<br><br> 
Cancer care * cardiology * child development centre * diabetes care * geriatric assessment * hematology * neonatal care * nephrology * obstetrics * palliative care * pediatrics * prolonged-ventilation weaning centre * psychiatry * respiratory diseases * surgery<br><br>
<b>Breastfeeding Centre for Families 416-469-6667 </b>-- Monday-Saturday 10 am- 3 pm * counselling and support by lactation consultant and/or public health nurse * walk in, no referral <br><br>
<b>DEC NET (Diabetes Education Community Network of East Toronto) 416-461-9042 </b>-- diabetes self management education, supports and services * in partnership with local agencies<br><br>
<b>Family Health Centre,</b> 840 Coxwell Ave, 416-469-6464 * <a href="" http://www.tegh.on.ca/bins/p5_1.asp?cid=2-37 ""> online referral</a> to family physicians in South East Toronto, or call 416-469-6363<br><br>
<b>Mental health outpatient programs 416-461-2000</b> -- brief counselling * child and adolescent programs * community recreation for socially isolated adults with mental health issues * crisis intervention * day treatment * prevocational rehabilitation * psychoeducation for adults with depression * psychogeriatric program * rehabilitation for adults with psychotic disorder * Mobile Crisis Intervention Team -- crisis assessment and intervention by a Registered Nurse and Police Constable in response to a 911 call<br><br>
<b>East Toronto Postpartum Adjustment Program 416-469-7608</b> -- education and group support * free child care provided * in partnership with several other agencies",,"English , Language Line service for other languages",Wheelchair accessible building including main entrance and barrier free washrooms * limited designated and street parking close to entrance,Mon-Sun 24 hours,"(50) Non Profit , (51) Registered Charity",2013-12-23T05:00:00
Youthdale Treatment Centres,"227 Victoria St, Toronto, ON     M5B 1T8","Church-Yonge Corridor, 75",416-368-4896,,"<a href=""http://www.youthdale.ca"" target=""_blank"">www.youthdale.ca</a>",,"Residential treatment centres in various locations for youth 12-18 years with emotional, behavioural and adjustment difficulties * outpatient counselling and assessment for youth and their families * Sleep Centre * also rural program including Youthdale Camp in Magnetawan, 705-387-4575 ext 233, ycamp@youthdale.ca<br><br> 

<b>Mobile Crisis Support Team 416-363-9990</b> -- professional team responds to children and youth in crisis, supports family or agency in crisis resolution * Acute Support Unit -- 10 bed, secure short term residential crisis unit for youth from 12 to under 16 years at risk to themselves or others * children under 12 years admitted only with Ministry of Community and Social Services' consent * assessment, crisis intervention, case management support for referring agencies<br><br> 

<b>Transitional Psychiatric Unit</b> -- 10 bed unit for children and youth under 16 years with emotional, psychological and/or cognitive impairments<br><br> 

<b>Medical Consultation Clinic</b> -- for general practitioners who work with youth who live at home with their families * consultation with a Youthdale child psychiatrist regarding medication concerns",Call intake or crisis services for assessment,English,"Barrier-free washroom including door and stall , Wheelchair accessible rear entrance including ramp , Street and lot parking",Mon-Fri 9 am-5 pm * Crisis Support Team -- Mon-Sun 24 hours,"(50) Non Profit , (51) Registered Charity",2015-08-24T04:00:00
Psychiatric Patient Advocate Office,"North American Life Tower, 5700 Yonge St, 5th Fl, Toronto, ON     M2M 4K5","Newtonbrook West, 36",416-327-7000,ppao.moh@ontario.ca,"<a href=""http://www.ppao.gov.on.ca"" target=""_blank"">www.ppao.gov.on.ca</a>","Patients admitted to designated hospitals that have a mental health unit (Schedule 1) * also clients living in the community who are placed on a community treatment order and their substitute decision makers, if any","Administers and coordinates advocacy and rights advice services * public information * systemic advocacy * information and referral for those ineligible for the service * literature in English and French<br> 
<br> 
Greater Toronto Area field offices located at Centre for Addiction and Mental Health <b>416-535-8501 ext 3199</b> and Ontario Shores Centre for Mental Health Sciences <b>905-430-4047</b> are independent services that provide confidential advocacy and rights advice for inpatients in the areas of legal, therapeutic and social entitlements",Self or professional referral -- call for information,"English , translation and interpretation may be arranged for other languages","Wheelchair accessible automatic main entrance , Easy access to elevator - braille features , Barrier-free washroom including door and stall , Also accessible via Finch subway station",Mon-Fri 8:30 am-5 pm,(50) Non Profit,2015-04-07T04:00:00
Children's Aid Society of Toronto,"469 Pape Ave, Toronto, ON     M4K 3P9","Blake-Jones, 69",416-462-1010,,"<a href=""http://www.parcyouth.com"" target=""_blank"">www.parcyouth.com</a>",Youth 16 years and older leaving the care of any children's aid society,"Transition program * counselling on employment, housing, literacy, substance abuse, independence, sexual assault, sex education * peer speakers * recreation activities",,English,Unknown,"Mon-Thu 9 am-9 pm, Fri 9 am-5 pm * after hours -- by appointment","(50) Non Profit , (51) Registered Charity",2015-05-05T04:00:00
COSTI Immigrant Services,"Sheridan Mall, 1700 Wilson Ave, Ste 105, Toronto, ON     M3L 1B2","Downsview-Roding-CFB, 26",416-244-7714,famcounselling@costi.org,"<a href=""http://www.costi.org"" target=""_blank"">www.costi.org</a>","Open to all, with a focus on newcomer or ethnocultural  communities","Counselling -- individual, marital, family * family violence -- counselling, support group for assaulted women * trauma group for Spanish-speaking women * mental health clinic with psychiatrist * includes family support, mental health education * Learning Together Women's Depression Group -- psychoeducational group for women diagnosed with depression * cross-cultural training and consultation to other agencies * Advice Lawyer --  Legal Aid clinic for summary advice Wednesday 5 pm-6 pm by appointment
<br><br>
<b>Passi Nuovi</b> (Partner Abuse Response Program), individual and group intervention program for abusive men * for offenders 18 years and older, ordered by the court to attend the program in response to a criminal charge involving domestic violence * 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict * victims/partners provided with support including safety planning, referrals to community resources, and information on offenders progress
<br><br>
<b>Problem Gambling Program</b> -- individual, marital and family, group and telephone counselling to identify and treat problem gambling * Family Education workshops * referrals * prevention activities",Call for appointment,"English , Italian , Spanish",Partially accessible -- call for details,Mon-Fri 8:30 am-4:30 pm * Wed evening appointments available,"(50) Non Profit , (51) Registered Charity",2015-03-20T04:00:00
Anishnawbe Health Toronto,"22 Vaughan Rd, Toronto, ON     M6G 2N1","Wychwood, 94",416-657-0379,info@aht.ca,"<a href=""http://www.aht.ca"" target=""_blank"">www.aht.ca</a>",Aboriginal ancestry,Mental health and addiction services based on Aboriginal culture and traditions * 20-week day program * assessment * counselling * support groups,Call or drop in * no referral required,"English , some Aboriginal languages","Wheelchair accessible automatic main entrance , Wheelchair accessible washroom, assistance needed with door , Limited street parking",Mon-Fri 9 am-5 pm * Intake Mon-Fri 9 am-4 pm * Mental Health Crisis Line -- Mon-Sun 24 hours,"(50) Non Profit , (51) Registered Charity",2015-05-20T04:00:00
Yorktown Child and Family Centre,"2010 Eglinton Ave W, Ste 300, Toronto, ON     M6E 2K3","Briar Hill-Belgravia, 108",416-394-2424,info@yorktownfamilyservices.com,"<a href=""http://www.yorktownfamilyservices.com"" target=""_blank"">www.yorktownfamilyservices.com</a>",Children and youth birth-18 years and their families or caregivers,"Children's mental health centre * outreach and consultation to schools, community centres, parks and recreation * school-based programs * service of Yorktown Family Services<br><br>

<b>Early intervention and treatment</b>:<br>
Mental health services for children birth-6 years * counselling for children 7-18 years and their caregivers * trauma focused cognitive behavioural therapy assessment and treatment * support and counselling for youth and families involved with, or at risk of being involved with child welfare * <b>What's Up Walk-in Counselling Services</b> -- see separate entry<br><br>

<b>Group programs for children, youth, and parents</b>:<br>
Double T -- temper management for children 7-12 years * Coping Cats -- anxiety management for children 7-12 years * Girl Talk -- group counselling for girls 13-16 years * Think First -- group counselling for boys 13-16 years * Cope -- group for parents of children aged birth-6 years * Finding Solutions/Parenting Wisely -- group for parents of adolescents * Mindful Fathering -- for fathers involved with child welfare looking to connect with their families * <b>Supporting Young Families</b> -- see separate entry<br><br>

<b>Prevention</b>:<br>
Community Parent Education (COPE) for parents of children birth-6 years * early years services in the home, school and community * on site Toronto Preschool Speech and Language Services -- see separate entry * Daryeelka Qoyska -- 10 week outreach, family support and education program in the Somali community to improve mother and child relationships, parenting, communication skills and community connections * Here to Help -- group program for children (and their mothers) exposed to woman abuse<br><br>

Anchoring partner in the Jane Street Hub, 1541 Jane St -- youth, parenting and counselling programs * Youth Outreach Worker Program, 416-645-7575 ext 2913, serving Weston-Mount Dennis and Jamestown neighbourhoods",Contact intake worker or walk in (see separate entry for What's Up Walk-in Counselling Services),"English , Interpreters for other languages arranged as needed * specific programs in Somali and Spanish","Wheelchair accessible automatic main entrance , Easy access to elevator - side door , Elevator with lowered buttons , Wheelchair accessible washroom, assistance needed with door","Mon-Thu 9 am-8 pm, Fri 9 am-5 pm","(50) Non Profit , (51) Registered Charity",2014-05-07T04:00:00
Planned Parenthood Toronto,"36B Prince Arthur Ave, Toronto, ON     M5R 1A9","Annex, 95",416-961-0113,ppt@ppt.on.ca,"<a href=""http://www.ppt.on.ca"" target=""_blank"">www.ppt.on.ca</a>",Youth 13-29 years,"Community health centre -- primary health, sexual and reproductive health, and mental health care * drop-in clinic * telephone access to physician or nurse practitioner * birth control counselling * emergency contraception * birth control and prescriptions at reduced price * free condoms * pregnancy testing and counselling, including pregnancy options * prenatal care * sexually transmitted infections testing and treatment * anonymous HIV testing * mental health case coordination * individual and group counselling * no Ontario Health Insurance required for general services<br><br>

Also information and referral including assistance finding food, housing, employment and legal aid * assistance obtaining health card * translation and interpretation by appointment",Call or visit * no referral required,"English , Interpretation available by appointment","Not Accessible - office , Outreach programs accessible - call for details","<b>Primary health clinic</b> -- Mon-Tue 9:30 am-8 pm, Wed 9:30 am-12 noon, 4 pm-8 pm, Thu 9:30 am-8 pm, Fri 9:30 am-4 pm * by appointment only -- call after 9:30 am for same day appointments * Sat 10 am-2 pm -- drop-in for sexual health matters only on a","(50) Non Profit , (51) Registered Charity",2015-07-31T04:00:00
Delisle Youth Services,"George Harvey Collegiate Institute, 1700 Keele St, 3rd Fl, Toronto, ON     M6M 3W5","Keelesdale-Eglinton West, 110",416-394-2010,dayprogram@delisleyouth.org,"<a href=""http://www.delisleyouth.org"" target=""_blank"">www.delisleyouth.org</a>",Youth 14-19 years with mental health problems who are unable to function in the mainstream school system,Educational and therapeutic learning experience * academic program in conjunction with Toronto District School Board (see separate entry) * individual counselling * social and recreation activities * family support * follow up * summer program,Call or email,English,Not Accessible,"Mon-Tue, Thu-Fri during school hours * Wed morning only","(50) Non Profit , (51) Registered Charity",2015-11-26T05:00:00
Chai-Tikvah Foundation,"37 Stonedene Blvd, Toronto, ON     M2R 3C6","Westminster-Branson, 35",416-665-0482,sue@chaitikvah.org,"<a href=""http://www.lifeandhope.ca"" target=""_blank"">www.lifeandhope.ca</a>","Men and women 16 years and older with a history of psychiatric disability * assessment criteria at <a href=""http://www.chaitikvah.org/admissions.php"">www.chaitikvah.org/admissions</a>","Affordable level I group home * capacity 8 * case manager, psychiatrist * 24 hour staff support * indefinite stay * counselling * referrals * Jewish environment * kosher food * programs include building self-esteem, stress management, improving social interaction and practical skills such as cooking, money management, household cleaning, decision-making, goal setting, use of medication * day trips and social club","Supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","English , Hebrew , Russian , Yiddish","Not Accessible , Entrance close to parking",,"(50) Non Profit , (51) Registered Charity",2015-10-21T04:00:00
Hong Fook Mental Health Association,"1751 Sheppard Ave E, Ground Fl, Toronto, ON     M2J 0A4","Henry Farm, 53",416-493-4242 ext 0,info@hongfook.ca,"<a href=""http://www.hongfook.ca"" target=""_blank"">www.hongfook.ca</a>","Community education -- open to all * all other programs -- consumers/survivors and their families of Cambodian, Chinese, Korean or Vietnamese descent, who are 16 years and older and have difficulty accessing other mental health services * Supportive Housing Program -- for consumer/survivors who are able to live independently with support","Client services -- information and referral, short term supportive counselling and case management * advocacy * leadership and life skills training * Supportive Housing Program - see eligibility above * psychosocial recreation and education activities * peer support and self help groups * support groups for family members * volunteer development<br> <br> 

General community education -- holistic health education * mental health promotion * consultation and educational services to agencies and professionals on ethno-racial mental health issues","Call 416-493-4242 ext 0 for information * supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","English , Chinese (Cantonese) , Chinese (Mandarin) , Khmer , Korean , Vietnamese",Wheelchair accessible - call for information,Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2016-01-11T05:00:00
Regesh Family and Child Services,"149 Willowdale Ave, Toronto, ON     M2N 4Y5","Willowdale East, 51",416-495-8832,eschild@regesh.com,"<a href=""http://www.regesh.com"" target=""_blank"">www.regesh.com</a>","Individuals 4-70 years, including children, youth, couples and families","Counselling and family support services * court diversion services * outreach to street youth<br> 
<br> 
<b>Anger Management Clinic <a href=""http://www.regeshangerclinic.com "">www.regeshangerclinic.com </a></b> -- 10 week individual or group course on personal control for children, youth and adults<br> 
<br>
<b>Family Support Program</b> -- diagnosis and treatment planning * crisis intervention * individual therapy for children, youth and adults * strategies for enriching school performance * child management sessions * aftercare follow-up for youth discharged from residential centres or foster care * parenting courses for teen mothers and families with young children or teens<br> 
<br> 
<b>High on Success (HOS) Mentor Program</b> -- day program for youth 15-24 years who are homeless, unemployed and/or not in school * day program includes social and life skills training, self-esteem enhancement, decision making, conflict resolution, peer relationships, interpersonal communication * drug awareness and harm reduction * homework club * field trips and other social activities * youth mentor training<br>
<br>
<b>Play Therapy Program</b> -- for children 4-12 years who are coping with grief and loss, serious illness of a family member, adoption or foster care, bullying, abuse, violence, poor self-esteem<br>
<br>
<b>Reconnecting Youth</b> -- school based life skills program for at risk youth peer groups<br>
<br>
Also Professional Consultation and Support Program for community agencies",Call for appointment,English,Wheelchair accessible - call for details,Mon-Fri 8 am-6 pm * evening hours as required,"(50) Non Profit , (51) Registered Charity",2015-05-06T04:00:00
YMCA of Greater Toronto,"Vanauley Street YMCA, 7 Vanauley St, Toronto, ON     M5T 2V9","Kensington-Chinatown, 78",416-603-6366,,"<a href=""http://www.ymcagta.org"" target=""_blank"">www.ymcagta.org</a>",Youth and young adults 16-24 years,"Drop-in * breakfast, lunch * substance abuse and gambling awareness programs * ID clinic * employment counselling * mental health counselling and crisis intervention * visiting nurse * housing support services",Call or drop-in,"English , Interpreters may be available for other languages","Wheelchair accessible automatic main entrance , Easy access to elevator , Barrier-free washroom including door and stall , Street parking",Mon-Fri 9:30 am-5 pm * program hours vary -- call for details,"(50) Non Profit , (51) Registered Charity",2016-02-04T05:00:00
Alternatives: East York Mental Health Counselling Services Agency,"1245 Danforth Ave, Ground Fl, Unit 2, Toronto, ON     M4J 1M8","Greenwood-Coxwell, 65",416-285-7996,info@alternativestoronto.org,"<a href=""http://www.alternativestoronto.org"" target=""_blank"">www.alternativestoronto.org</a>","Persons 16 years and older with serious, longstanding mental health problems","Community mental health program * consumer/survivor participation in all aspects of agency * case management/community support * advocacy * education * supportive counselling * groups * links with other services * information and referral<br> <br> 

<b>Consumer/Survivor and Family Community Development Project</b> -- supports consumer/survivor and family involvement in community mental health reform * promotes and develops community mental health supports","Call or walk in * self referral strongly encouraged * case management -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","English , Hindi , Malayalam , Tamil","Wheelchair accessible - call for assistance , Barrier free washroom , Street parking",Mon-Fri 9 am-5 pm * flexible for client meetings,"(50) Non Profit , (51) Registered Charity",2015-06-02T04:00:00
East Metro Youth Services,"1200 Markham Rd, Ste 200, Toronto, ON     M1H 3C3","Woburn, 137",Intake Coordinator 416-438-3697 ext 403,emys@emys.on.ca,"<a href=""http://www.emys.on.ca"" target=""_blank"">www.emys.on.ca</a>","Programs vary, call for details","Counselling and case management services, including intensive mental health interventions<br><br>

<b>Home-based Counselling</b> -- intensive home-based individual and family counselling, including <b>Intensive Child and Family Services (ICFS)</b> and <b>Priority Access for Child Welfare</b> programs<br><br>

<b>Transitional Support</b> -- admission and discharge planning case management for youth admitted to psychiatric unit at Rouge Valley Health System and Rouge Valley Centenary -- see separate entries<br><br>

<b>Whats Up Walk-In Mental Health Clinic</b> -- single session, brief solution focused therapeutic counselling for children, youth and young adults, and their families * concerns may include addiction, depression, anxiety, suicidal and self-harming behaviour, bullying and conflict at school, identity and sexuality including gender identity and sexual orientation, family conflict, body image and behavioural concerns, youth justice issues, grief and bereavement * in partnership with Oolagen Community Services and Yorktown Child and Family Centre (see separate entries) and other community agencies<br><br>

<b>Whatever It Takes (WIT) Program</b> -- for children and youth birth-18 years * service navigation and interim case management for complex cases * in partnership with Griffin Centre -- see separate entry",Call or walk in * <b>Whats Up Walk-In Mental Health Clinic</b> -- no appointment or Ontario Health Insurance required,"English , Chinese (Cantonese) , Chinese (Mandarin) , Dari , Farsi , Tamil , will arrange for interpretation in other languages if necessary","Designated parking at entrance , Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall","Office -- Mon-Thu 9 am-8 pm, Fri 9 am-5 pm * program hours vary, call for details<br><br>

<b>Whats Up Walk-In Mental Health Clinic</b> -- Mon-Thu 2 pm-8 pm (last appointment registration 7 pm), Fri 10 am-5 pm (last appointment registration 4 pm), Sat 10","(50) Non Profit , (51) Registered Charity",2015-06-04T04:00:00
SPOT Art and Technology Centre,"Toronto Public Library, Malvern Branch, 30 Sewells Rd, Toronto, ON     M1B 3G5","Malvern, 132",,info@malvernspot.ca,"<a href=""http://www.malvernspot.ca"" target=""_blank"">www.malvernspot.ca</a>",Youth and young adults 13-25 years,"Youth centre * leadership, literacy, computer access * health and mental health education * youth lounge, recreation and social opportunities * performance space and recording studio * ProTech Media Centre -- multimedia computer lab * programming may vary -- email for details<br><br>

Partnership of Toronto Public Library, City of Toronto (see separate entries) and local community agencies",Email or visit website for information,English,"Wheelchair accessible automatic main entrance , Barrier-free washroom including door and stall , Designated parking",Mon-Fri 3 pm-8:30 pm,(50) Non Profit,2015-09-29T04:00:00
Toronto Mental Health and Addictions Access Point,"661 Yonge St, 4th Fl, Toronto, ON     M4Y 1Z9","Church-Yonge Corridor, 75",416-640-1934,info@theaccesspoint.ca,"<a href=""http://theaccesspoint.ca"" target=""_blank"">theaccesspoint.ca</a>","Individuals 14 years and older, who are experiencing serious, life-affecting mental health or concurrent mental health and addiction problems -- may vary by program, see service description for details * must live within the City of Toronto to receive services","Coordinated intake for intensive case management, assertive community treatment teams, early psychosis intervention, and supportive housing * coordinated access to participating mental health and supportive housing agencies<br>
<br>
<b>Individual support services:</b><br>
<b>Intensive Case Management</b> -- one-on-one support for individuals with serious mental illness, who require individual case management support to live in the community * links to appropriate services<br>
<br>
<b>Assertive Community Treatment Teams (ACTT)</b> -- treatment, rehabilitation and support for individuals with severe mental health diagnosis, particularly psychosis, and with a history of hospitalization * multidisciplinary team<br>
<br>
<b>Supportive housing:</b><br>
<b>Mental Health Supportive Housing Program</b> -- links to supportive housing with various levels of support including shared or independent housing, for individuals with mental health or mental health and addiction issues * must qualify for housing subsidy<br>
<br>
<b>Problematic Substance Use Program</b> -- links to low support independent housing for individuals with severe substance use, who are homeless or under housed * must qualify for housing subsidy<br>
<br>
<b>Mental Health and Justice Program</b> -- links to low support independent housing for individuals with serious mental health challenges, who are homeless or at risk of homelessness, and who have current involvement with the Criminal Justice system at time of intake * referral by priority referral source such as justice system professionals * must qualify for housing subsidy","Call, or visit website for information, intake procedures and list of participating agencies * visit website to apply online or download application form * application may be made from outside the City of Toronto but must live within City of Toronto to receive services","English , Interpretation may be available for other languages, varies by agency","Easy access to elevator , Barrier-free washroom including door and stall , Wheelchair accessible - call for details",Administration -- Mon-Fri 9 am-4:30 pm,(50) Non Profit,2015-08-25T04:00:00
Oolagen Youth Mental Health,"591 Huron St, Toronto, ON     M5R 2R8","Annex, 95",416-395-0668,,"<a href=""http://www.oolagen.org"" target=""_blank"">www.oolagen.org</a>",Young men and women 13-18 years who require residential treatment,Residential treatment * life skills * emotional counselling * capacity 7,Call for information,English,Not Accessible,,"(50) Non Profit , (51) Registered Charity",2015-08-21T04:00:00
Yonge Street Mission,"381 Yonge St, Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75",416-929-9614 ext 2238,healthcentre@ysm.ca,"<a href=""http://www.ysm.ca"" target=""_blank"">www.ysm.ca</a>","Street involved and homeless youth only * 24 years and under (no minimum age) * also children, infants of street youth","Health services including primary medical care and dental care, check ups, lab tests, including HIV testing * birth control, pregnancy tests, immunization, prenatal care, perinatal services, prenatal and parenting classes * dental care * optometry, eye glasses * chiropractor * nutritionist * physiotherapist * psychiatrist * addictions counselling * traditional Chinese medicine * foot care, socks and shoes * health education * counselling on health issues * referrals * ID replacement * access to diapers, formula, baby food * no Ontario Health Insurance or identification required * child care available","Walk in only, no appointments",English,"Wheelchair accessible main entrance and ground floor, assistance needed with door , Barrier-free washroom",Health Centre -- Mon-Fri 1 pm-4:30 pm * office -- Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2014-08-15T04:00:00
Horizons for Youth,"422 Gilbert Ave, Toronto, ON     M6E 4X3","Caledonia-Fairbank, 109",416-781-9898,info@horizonsforyouth.org,"<a href=""http://www.horizons4youth.org"" target=""_blank"">www.horizons4youth.org</a>",Young men and women 16-24 years who are homeless or transient,"Emergency shelter and short term housing program * capacity 35 * length of stay depends on plan * food packages * meals * clothing * personal needs * emotional support * informal counselling * access to housing worker * life skills training, crisis intervention, housing workshops * community referrals * aftercare support * day programs, drop-in services, clinical referral and assessment, case management, advocacy",Call for referral,"English , other languages accommodated","Designated parking at entrance - rear of building , Street parking limited to 1 hour , Easy access to elevator , Barrier-free washroom including door and stall , Wheelchair accessible main entrance, assistance needed with door , Doors lock electronically",Mon-Sun 24 hours,"(50) Non Profit , (51) Registered Charity",2015-06-01T04:00:00
Abrigo Centre,"1645 Dufferin St, Toronto, ON     M6H 3L9","Corso Italia-Davenport, 92",416-534-3434,info@abrigo.ca,"<a href=""http://www.abrigo.ca"" target=""_blank"">www.abrigo.ca</a>","Open to all with focus on Portuguese-speaking communities * Partner Assault Response -- offenders 18 years and older, ordered by the court to attend the program in response to a criminal charge involving domestic violence","Multiservice agency * liaison with Portuguese-speaking communities<br><br>

<b>Community development</b> -- information and referral, assistance with forms * youth programs including school outreach workshops * settlement and orientation for newcomers * community education and information * seniors recreation program<br><br>

<b>Counselling services</b> -- individual and family counselling * individual and group counselling for women and children who are victims or witnesses of abuse * youth services include counselling, life skills, advocacy * Success by Six parenting group for Portuguese-speaking mothers with children birth-6 years * PAIS parenting group for Portuguese-speaking fathers<br><br>

<b>Partner Assault Response (PAR)</b> -- 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict * victims/partners of the offender provided with support including safety planning, referrals to community resources, and information on offenders progress",Call to schedule an intake/assessment meeting,"English , Portuguese","Wheelchair accessible main entrance, assistance needed with door , Street parking",Mon-Fri 9 am-5 pm *  evenings by appointment only,"(50) Non Profit , (51) Registered Charity",2015-05-07T04:00:00
Anishnawbe Health Toronto,"225 Queen St E, Toronto, ON     M5A 1S4","Moss Park, 73",416-360-0486,info@aht.ca,"<a href=""http://www.aht.ca"" target=""_blank"">www.aht.ca</a>",Aboriginal ancestry,"Culture-based traditional health care provided by Traditional Healers, Elders, Medicine People * primary health care provided by physicians, nurse practitioners, chiropractors, naturopaths, chiropodist, physiotherapist * health counselling and promotion * diabetes prevention, education and support * Fetal Alcohol Spectrum Disorder -- diagnosis, assessment, support groups, referrals * traditional cultural programs for children and youth in care or child protection services * prenatal and postnatal care * infant and child development assessments * anonymous HIV testing * no Ontario Health Insurance required for general services",Call or drop in,"English , some Aboriginal languages",Wheelchair accessible building including main entrance and barrier free washrooms * wheelchair lift to second floor and basement * street parking,"Mon, Wed 9 am-8 pm, Tue, Thu-Fri 9 am-5 pm * some on call services -- call for details","(50) Non Profit , (51) Registered Charity",2015-05-20T04:00:00
LAMP Community Health Centre,"2970 Lake Shore Blvd W, Main Fl, Toronto, ON     M8V 1J7","New Toronto, 18",416-251-8666,deborahq@lampchc.org,"<a href=""http://www.lampchc.org"" target=""_blank"">www.lampchc.org</a>",Adults 18-65 years with recurring or persistent mental health problems,"Community mental health centre * education workshops promoting mental, physical and social health, healthy lifestyle activities and planning, connecting with the community, information and referral * social and recreational activities",Self referral encouraged * call for appointment,English,"Wheelchair accessible washroom, assistance needed with door , Wheelchair accessible main entrance, assistance needed with door",Office -- Mon-Fri 9 am-5 pm * program hours vary,"(50) Non Profit , (51) Registered Charity",2015-05-12T04:00:00
Consumer/Survivor Information Resource Centre of Toronto,"1001 Queen St W, Toronto, ON     M6J 1H4","Niagara, 82",416-595-2882,csinfo@camh.ca,"<a href=""http://www.csinfo.ca"" target=""_blank"">www.csinfo.ca</a>",Open to anyone * priority to persons with mental health or addiction issues * <b>income tax clinic -- persons with mental health or addiction issues only</b>,"Information, assistance and referral related to mental health or addiction services, by phone or in person * non-lending video and print library * free newsletter * <b>year-round income tax clinic for people with mental health or addiction issues only</b>",No referral required,English,"Designated parking at entrance , Wheelchair accessible automatic main entrance , Easy access to elevator , Elevator with braille and voice/tone features - lowered buttons , Barrier-free washroom including door and stall",Office -- Mon-Fri 9 am-5 pm * drop-in -- Mon-Fri 9 am-4 pm,(50) Non Profit,2016-02-04T05:00:00
Hong Fook Mental Health Association,"130 Dundas St W, 3rd Fl, Toronto, ON     M5G 1C3","Bay Street Corridor, 76",416-493-4242 ext 0,info@hongfook.ca,"<a href=""http://www.hongfook.ca"" target=""_blank"">www.hongfook.ca</a>","Community education -- open to all * all other programs -- consumers/survivors and their families of Cambodian, Chinese, Korean or Vietnamese descent who are over 16 years and have difficulty accessing other mental health services * Supportive Housing Program -- for consumer/survivors who are able to live independently with support","Client services -- information and referral, short term supportive counselling and case management * advocacy * leadership and life skills training * Supportive Housing Program - see eligibility above * psychosocial recreation and education activities * peer support and self help groups * support groups for family members * volunteer development<br>
<br>
General community education -- holistic health education * mental health promotion * consultation and educational services to agencies and professionals on ethno-racial mental health issues","Call 416-493-4242 ext 0 for information * supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","English , Chinese (Cantonese) , Chinese (Mandarin) , Khmer , Korean , Vietnamese","Easy access to elevator , Wheelchair accessible main entrance , Barrier free washroom",Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2016-01-11T05:00:00
Arrabon House,"29 Wilson Park Rd, Toronto, ON     M6K 3B6","South Parkdale, 85",416-536-7037,karenprosper@rogers.com,"<a href=""http://www.arrabonhouse.org"" target=""_blank"">www.arrabonhouse.org</a>","Young women 13-18 years experiencing family conflict, mental health, behavioural and emotional issues, or survivors of physical or sexual abuse","Long term residential treatment program in group home environment * capacity 7 * links with counselling services, community health, education, employment, life skills training and recreation programs * aftercare program",Contact intake worker at 416-536-7037 or referring worker can contact Centralized Access to Residential Services (CARS) at 416-482-7884,"English , Will assist in finding interpreters for other languages","Not Accessible , Designated parking at entrance - also street parking",Mon-Sun 24 hours,"(50) Non Profit , (51) Registered Charity",2016-02-03T05:00:00
