,,,"Oakville, Town [Census subdivision], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Household characteristics","Total - Occupied private dwellings by period of construction - 25% sample data",136,   66270,,,...,,..., 5169175,,,...,,...
"Household characteristics","  1960 or before",,    6850,,,...,,..., 1293135,,,...,,...
"Household characteristics","  1961 to 1980",,   14445,,,...,,..., 1449585,,,...,,...
"Household characteristics","  1981 to 1990",,   13590,,,...,,...,  709135,,,...,,...
"Household characteristics","  1991 to 2000",,   11110,,,...,,...,  622565,,,...,,...
"Household characteristics","  2001 to 2005",,    8450,,,...,,...,  396130,,,...,,...
"Household characteristics","  2006 to 2010",,    6625,,,...,,...,  368235,,,...,,...
"Household characteristics","  2011 to 2016",137,    5200,,,...,,...,  330390,,,...,,...
"Household characteristics","Total - Occupied private dwellings by dwelling condition - 25% sample data",138,   66265,,,...,,..., 5169175,,,...,,...
"Household characteristics","  Only regular maintenance or minor repairs needed",,   63990,,,...,,..., 4851335,,,...,,...
"Household characteristics","  Major repairs needed",,    2280,,,...,,...,  317840,,,...,,...
"Household characteristics","Total - Private households by number of household maintainers - 25% sample data",139,   66270,,,...,,..., 5169170,,,...,,...
"Household characteristics","  1 household maintainer",,   34470,,,...,,..., 2962065,,,...,,...
"Household characteristics","  2 household maintainers",,   30295,,,...,,..., 2059710,,,...,,...
"Household characteristics","  3 or more household maintainers",,    1500,,,...,,...,  147400,,,...,,...
"Household characteristics","Total - Private households by age of primary household maintainers - 25% sample data",140,   66270,,,...,,..., 5169175,,,...,,...
"Household characteristics","  15 to 24 years",,     740,,,...,,...,  135835,,,...,,...
"Household characteristics","  25 to 34 years",,    4695,,,...,,...,  681685,,,...,,...
"Household characteristics","  35 to 44 years",,   12925,,,...,,...,  880070,,,...,,...
"Household characteristics","  45 to 54 years",,   18665,,,...,,..., 1113885,,,...,,...
"Household characteristics","  55 to 64 years",,   13730,,,...,,..., 1047185,,,...,,...
"Household characteristics","  65 to 74 years",,    8570,,,...,,...,  738445,,,...,,...
"Household characteristics","  75 to 84 years",,    5130,,,...,,...,  414210,,,...,,...
"Household characteristics","  85 years and over",,    1810,,,...,,...,  157860,,,...,,...
"Household characteristics","Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",141,   66160,,,...,,..., 5106290,,,...,,...
"Household characteristics","  Spending less than 30% of income on shelter costs",,   49715,,,...,,..., 3694385,,,...,,...
"Household characteristics","  Spending 30% or more of income on shelter costs",,   16440,,,...,,..., 1411900,,,...,,...
"Household characteristics","    30% to less than 100%",,   13320,,,...,,..., 1208010,,,...,,...
"Household characteristics","Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data",,   54120,,,...,,..., 3557485,,,...,,...
"Household characteristics","  % of owner households with a mortgage",142, 61.3,,,...,,..., 61.0,,,...,,...
"Household characteristics","  % of owner households spending 30% or more of its income on shelter costs",141, 19.8,,,...,,..., 19.8,,,...,,...
"Household characteristics","  Median monthly shelter costs for owned dwellings ($)",143,    1764,,,...,,...,    1299,,,...,,...
"Household characteristics","  Average monthly shelter costs for owned dwellings ($)",143,    1950,,,...,,...,    1463,,,...,,...
"Household characteristics","  Median value of dwellings ($)",144,  800533,,,...,,...,  400496,,,...,,...
"Household characteristics","  Average value of dwellings ($)",144,  883853,,,...,,...,  506409,,,...,,...
"Household characteristics","Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data",,   12135,,,...,,..., 1554940,,,...,,...
"Household characteristics","  % of tenant households in subsidized housing",145, 14.2,,,...,,..., 15.0,,,...,,...
"Household characteristics","  % of tenant households spending 30% or more of its income on shelter costs",141, 47.6,,,...,,..., 45.7,,,...,,...
"Household characteristics","  Median monthly shelter costs for rented dwellings ($)",143,    1416,,,...,,...,    1045,,,...,,...
"Household characteristics","  Average monthly shelter costs for rented dwellings ($)",143,    1523,,,...,,...,    1109,,,...,,...
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data",146,  155025,,   74295,,   80725,,11038440,, 5342755,, 5695685,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",,   18075,,    8915,,    9155,, 1935355,,  961690,,  973670,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147,   35120,,   16705,,   18410,, 3026100,, 1485320,, 1540770,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,  101830,,   48670,,   53160,, 6076985,, 2895745,, 3181235,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",,    5705,,    3775,,    1935,,  664180,,  471055,,  193120,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148,    2985,,    1740,,    1240,,  324370,,  199510,,  124855,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,    2720,,    2030,,     695,,  339810,,  271545,,   68260,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",,   27055,,   11615,,   15435,, 2298715,,  981785,, 1316930,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,    4255,,    1810,,    2445,,  242005,,  107065,,  134945,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",,   64810,,   31465,,   33345,, 2872085,, 1335845,, 1536250,
" Highest certificate; diploma or degree","      Bachelor's degree",,   41985,,   19370,,   22615,, 1911530,,  854135,, 1057395,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,    4160,,    1925,,    2235,,  189370,,   83670,,  105695,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,    1975,,    1055,,     925,,   79760,,   42295,,   37460,
" Highest certificate; diploma or degree","      Master's degree",,   14885,,    8035,,    6850,,  593645,,  294180,,  299470,
" Highest certificate; diploma or degree","      Earned doctorate",150,    1810,,    1090,,     720,,   97790,,   61560,,   36230,
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",146,  101225,,   48235,,   52995,, 7229120,, 3498620,, 3730495,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",,    4100,,    2305,,    1800,,  752995,,  404770,,  348225,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147,   16755,,    8290,,    8460,, 1768955,,  895020,,  873935,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,   80370,,   37635,,   42735,, 4707165,, 2198830,, 2508335,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",,    3520,,    2370,,    1155,,  446390,,  315975,,  130420,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148,    1830,,    1100,,     730,,  218980,,  134685,,   84295,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,    1690,,    1270,,     420,,  227410,,  181290,,   46120,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",,   20210,,    8540,,   11675,, 1782530,,  762505,, 1020030,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,    2955,,    1205,,    1750,,  170925,,   75935,,   94995,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",,   53680,,   25525,,   28155,, 2307320,, 1044420,, 1262895,
" Highest certificate; diploma or degree","      Bachelor's degree",,   34010,,   15455,,   18550,, 1519850,,  668450,,  851400,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,    3440,,    1510,,    1930,,  148960,,   62370,,   86590,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,    1695,,     855,,     840,,   63790,,   30895,,   32895,
" Highest certificate; diploma or degree","      Master's degree",,   13055,,    6865,,    6190,,  500415,,  239160,,  261255,
" Highest certificate; diploma or degree","      Earned doctorate",150,    1480,,     840,,     645,,   74310,,   43545,,   30765,
"Major field of study - Classification of Instructional Programs (CIP) 2016","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data",151,  155020,,   74290,,   80730,,11038440,, 5342755,, 5695685,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  No postsecondary certificate; diploma or degree",152,   53195,,   25625,,   27570,, 4961455,, 2447010,, 2514445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Education",,    5275,,     995,,    4275,,  349745,,   79245,,  270505,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    13. Education",,    5270,,     995,,    4275,,  349750,,   79245,,  270505,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Visual and performing arts; and communications technologies",,    4510,,    1825,,    2685,,  246075,,  109955,,  136120,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,     605,,     465,,     140,,   38745,,   28735,,   10010,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,    3905,,    1355,,    2550,,  207325,,   81220,,  126110,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,    6175,,    1925,,    4250,,  359560,,  133350,,  226210,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,     630,,     100,,     525,,   37900,,    8170,,   29730,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,    1845,,     405,,    1440,,   98440,,   28290,,   70145,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,    1825,,     545,,    1280,,   95345,,   32940,,   62410,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,      15,,      10,,      10,,    2165,,     805,,    1365,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,     335,,     170,,     165,,   24255,,   13425,,   10830,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,     205,,     120,,      85,,   28175,,   17120,,   11055,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,    1015,,     545,,     465,,   57295,,   30015,,   27280,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,     310,,      30,,     280,,   15990,,    2590,,   13400,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,   15565,,    5615,,    9945,,  810410,,  269735,,  540670,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,     150,,      10,,     140,,   10765,,    2210,,    8560,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,    1740,,     615,,    1125,,   81500,,   31825,,   49675,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,    1545,,     130,,    1420,,  141750,,   11775,,  129975,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,    2465,,     965,,    1495,,  128860,,   45275,,   83590,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,     235,,      55,,     180,,   16210,,    3400,,   12815,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,    2430,,     535,,    1900,,  122545,,   29640,,   92905,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,    6990,,    3310,,    3685,,  308775,,  145620,,  163155,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",,   28200,,   13855,,   14340,, 1279665,,  527085,,  752580,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,      30,,      10,,      15,,    2725,,     895,,    1830,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,    1240,,     245,,     995,,  108935,,   21405,,   87530,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,   26925,,   13595,,   13325,, 1168005,,  504780,,  663225,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,    5010,,    2325,,    2685,,  253905,,  124050,,  129850,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,    2020,,     730,,    1290,,  110950,,   45120,,   65835,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,    1255,,     530,,     725,,   54745,,   24800,,   29945,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,      70,,      30,,      40,,    3830,,    1190,,    2640,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,    1545,,     990,,     550,,   72355,,   48145,,   24205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,     120,,      40,,      85,,   12025,,    4795,,    7235,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,    5525,,    3570,,    1960,,  290045,,  185310,,  104730,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,    3960,,    2765,,    1195,,  220550,,  150765,,   69790,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,     255,,      15,,     235,,   15220,,    2450,,   12770,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,    1215,,     730,,     490,,   49025,,   28515,,   20515,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,     100,,      60,,      35,,    5235,,    3580,,    1655,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",,   16175,,   13655,,    2515,, 1173030,, 1055050,,  117985,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,     875,,     585,,     290,,   51845,,   34590,,   17265,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,    8355,,    6510,,    1840,,  334085,,  271010,,   63070,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,    2690,,    2420,,     280,,  237775,,  214500,,   23275,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,       0,,       0,,       0,,     160,,      30,,     125,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,    1590,,    1565,,      20,,  198790,,  194555,,    4235,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,    1670,,    1615,,      55,,  225860,,  220545,,    5315,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,     990,,     965,,      30,,  124515,,  119820,,    4695,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,    1140,,     600,,     535,,  106895,,   67015,,   39880,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,     665,,     330,,     335,,   66035,,   41790,,   24240,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,     475,,     265,,     205,,   40860,,   25230,,   15635,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",,   11120,,    2815,,    8305,,  865970,,  173780,,  692185,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,    1220,,     605,,     615,,   75715,,   37005,,   38705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",,    9295,,    1885,,    7405,,  767680,,  124280,,  643400,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,     600,,     320,,     285,,   22575,,   12490,,   10075,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,    3140,,    1495,,    1650,,  340285,,  170915,,  169375,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,    1745,,     400,,    1345,,  183925,,   49390,,  134535,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,      15,,      10,,       0,,    2135,,    1815,,     320,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,      20,,      25,,       0,,    2610,,    2385,,     225,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,     920,,     660,,     260,,   98325,,   68625,,   29695,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,     440,,     395,,      40,,   53290,,   48695,,    4595,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,      10,,       0,,       0,,    1405,,     260,,    1145,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,      10,,       0,,       0,,    1405,,     255,,    1145,
"Major field of study - Classification of Instructional Programs (CIP) 2016","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data",151,  101225,,   48230,,   52995,, 7229120,, 3498625,, 3730500,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  No postsecondary certificate; diploma or degree",152,   20855,,   10595,,   10260,, 2521950,, 1299790,, 1222160,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Education",,    3890,,     670,,    3220,,  243635,,   52670,,  190965,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    13. Education",,    3885,,     670,,    3220,,  243635,,   52670,,  190965,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Visual and performing arts; and communications technologies",,    3340,,    1280,,    2065,,  192630,,   85175,,  107450,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,     390,,     305,,      90,,   28705,,   21070,,    7635,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,    2950,,     980,,    1970,,  163925,,   64105,,   99815,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,    4665,,    1440,,    3230,,  266665,,   95805,,  170855,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,     480,,      65,,     410,,   29210,,    5775,,   23435,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,    1390,,     315,,    1075,,   73110,,   20225,,   52885,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,    1415,,     425,,     990,,   72145,,   24330,,   47815,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,      10,,      10,,      10,,    1665,,     615,,    1045,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,     245,,     130,,     110,,   17755,,    9925,,    7830,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,     130,,      75,,      60,,   19390,,   11790,,    7605,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,     750,,     410,,     340,,   42315,,   21735,,   20585,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,     255,,      15,,     230,,   11075,,    1415,,    9655,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,   12525,,    4390,,    8135,,  648285,,  207200,,  441085,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,     105,,      10,,      90,,    8630,,    1785,,    6845,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,    1315,,     420,,     900,,   67115,,   26015,,   41105,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,    1190,,     100,,    1085,,  111550,,    8405,,  103145,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,    2125,,     755,,    1370,,  108895,,   34250,,   74650,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,     160,,      45,,     120,,   12875,,    2705,,   10170,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,    1915,,     395,,    1525,,   93770,,   21045,,   72725,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,    5705,,    2670,,    3030,,  245445,,  113000,,  132445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",,   23240,,   11290,,   11950,, 1026975,,  414425,,  612550,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,      15,,      10,,       0,,    2225,,     715,,    1510,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,     900,,     185,,     715,,   88130,,   16590,,   71540,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,   22325,,   11095,,   11230,,  936620,,  397120,,  539500,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,    3610,,    1570,,    2040,,  190235,,   88535,,  101700,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,    1530,,     520,,    1010,,   84580,,   33150,,   51425,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,     920,,     370,,     550,,   41255,,   18020,,   23240,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,      60,,      20,,      35,,    3135,,     975,,    2165,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,    1040,,     635,,     400,,   52490,,   33175,,   19310,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,      65,,      20,,      40,,    8775,,    3215,,    5555,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,    4930,,    3225,,    1705,,  252275,,  162360,,   89915,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,    3695,,    2555,,    1140,,  198775,,  136120,,   62655,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,     170,,      15,,     160,,   10755,,    1765,,    8995,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,     980,,     600,,     380,,   38160,,   21440,,   16720,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,      90,,      60,,      30,,    4580,,    3030,,    1550,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",,   12210,,   10000,,    2210,,  878300,,  779075,,   99225,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,     740,,     490,,     250,,   42115,,   27365,,   14745,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,    6725,,    5065,,    1650,,  266040,,  211240,,   54800,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,    1895,,    1660,,     235,,  178830,,  160160,,   18675,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,       0,,       0,,      10,,     140,,      25,,     115,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,    1110,,    1090,,      20,,  141515,,  138160,,    3360,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,    1140,,    1110,,      30,,  162855,,  158770,,    4080,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,     605,,     585,,      25,,   86805,,   83355,,    3450,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,     890,,     440,,     450,,   82775,,   49710,,   33065,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,     485,,     205,,     280,,   50160,,   30065,,   20095,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,     410,,     240,,     170,,   32615,,   19650,,   12965,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",,    8680,,    2190,,    6485,,  664880,,  133665,,  531220,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,     950,,     460,,     485,,   58160,,   27950,,   30205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",,    7190,,    1450,,    5740,,  589085,,   96720,,  492365,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,     540,,     280,,     265,,   17640,,    8990,,    8645,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,    2380,,    1145,,    1235,,  259400,,  129985,,  129415,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,    1290,,     295,,     995,,  137250,,   36225,,  101030,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,      15,,      15,,      10,,    1685,,    1405,,     280,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,      10,,       0,,       0,,    1415,,    1270,,     145,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,     735,,     535,,     200,,   77190,,   52840,,   24345,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,     335,,     295,,      40,,   41855,,   38245,,    3610,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,       0,,       0,,       0,,    1125,,     220,,     900,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,       0,,       0,,       0,,    1125,,     225,,     900,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data",157,  155025,,   74295,,   80725,,11038440,, 5342755,, 5695685,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",,   53190,,   25620,,   27570,, 4961460,, 2447010,, 2514445,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158,  101830,,   48670,,   53160,, 6076985,, 2895745,, 3181240,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",,   72175,,   34270,,   37905,, 4786950,, 2261260,, 2525690,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",,   63410,,   29905,,   33505,, 4414485,, 2081525,, 2332960,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,    8765,,    4365,,    4395,,  372470,,  179735,,  192730,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159,   29655,,   14400,,   15255,, 1290035,,  634485,,  655545,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,    3995,,    2105,,    1885,,  167260,,   89350,,   77910,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,    1465,,     450,,    1010,,  115410,,   39750,,   75655,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,    2365,,    1110,,    1260,,  169340,,   85500,,   83840,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,    3900,,    2290,,    1615,,  115690,,   66215,,   49470,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,    2910,,    1320,,    1585,,   98415,,   46230,,   52185,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,     205,,     110,,      95,,   10775,,    5800,,    4975,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,   14815,,    7005,,    7805,,  613145,,  301635,,  311510,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data",157,  101225,,   48235,,   52990,, 7229120,, 3498620,, 3730500,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",,   20850,,   10595,,   10260,, 2521955,, 1299795,, 1222160,
